 ,Label,BX,BY,Width,Height
1,1507_1503_20180315_180851.bmp,960,141,1,1
2,1507_1503_20180315_182351.bmp,960,142,1,1
3,1507_1503_20180315_183851.bmp,960,143,1,1
4,1507_1503_20180315_185351.bmp,960,145,1,1
5,1507_1503_20180315_190851.bmp,961,147,1,1
6,1507_1503_20180315_192351.bmp,962,149,1,1
7,1507_1503_20180315_193851.bmp,962,151,1,1
8,1507_1503_20180315_195351.bmp,962,152,1,1
9,1507_1503_20180315_200851.bmp,962,154,1,1
10,1507_1503_20180315_202351.bmp,962,156,1,1
11,1507_1503_20180315_203851.bmp,962,158,1,1
12,1507_1503_20180315_205351.bmp,962,159,1,1
13,1507_1503_20180315_210851.bmp,963,161,1,1
14,1507_1503_20180315_212351.bmp,965,162,1,1
15,1507_1503_20180315_213851.bmp,966,165,1,1
16,1507_1503_20180315_215351.bmp,967,166,1,1
17,1507_1503_20180315_220851.bmp,968,168,1,1
18,1507_1503_20180315_222351.bmp,967,171,1,1
19,1507_1503_20180315_223851.bmp,966,172,1,1
20,1507_1503_20180315_225351.bmp,965,174,1,1
21,1507_1503_20180315_230851.bmp,966,176,1,1
22,1507_1503_20180315_232351.bmp,966,178,1,1
23,1507_1503_20180315_233851.bmp,965,179,1,1
24,1507_1503_20180315_235351.bmp,964,181,1,1
25,1507_1503_20180316_000851.bmp,963,183,1,1
26,1507_1503_20180316_002351.bmp,960,184,1,1
27,1507_1503_20180316_003851.bmp,960,185,1,1
28,1507_1503_20180316_005351.bmp,961,189,1,1
29,1507_1503_20180316_010851.bmp,962,191,1,1
30,1507_1503_20180316_012351.bmp,960,193,1,1
31,1507_1503_20180316_013851.bmp,957,194,1,1
32,1507_1503_20180316_015351.bmp,957,197,1,1
33,1507_1503_20180316_020851.bmp,958,199,1,1
34,1507_1503_20180316_022351.bmp,959,202,1,1
35,1507_1503_20180316_023851.bmp,958,204,1,1
36,1507_1503_20180316_025351.bmp,957,206,1,1
37,1507_1503_20180316_030851.bmp,955,207,1,1
38,1507_1503_20180316_032351.bmp,955,210,1,1
39,1507_1503_20180316_033851.bmp,958,212,1,1
40,1507_1503_20180316_035351.bmp,960,214,1,1
41,1507_1503_20180316_040851.bmp,958,216,1,1
42,1507_1503_20180316_042351.bmp,953,218,1,1
43,1507_1503_20180316_043851.bmp,951,221,1,1
44,1507_1503_20180316_045351.bmp,954,223,1,1
45,1507_1503_20180316_050851.bmp,958,225,1,1
46,1507_1503_20180316_052351.bmp,959,229,1,1
47,1507_1503_20180316_053851.bmp,954,231,1,1
48,1507_1503_20180316_055351.bmp,951,232,1,1
