 ,Label,BX,BY,Width,Height
1,1507_1503_20180315_033851.bmp,367,105,1,1
2,1507_1503_20180315_035351.bmp,365,105,1,1
3,1507_1503_20180315_040851.bmp,364,107,1,1
4,1507_1503_20180315_042351.bmp,364,108,1,1
5,1507_1503_20180315_043851.bmp,364,110,1,1
6,1507_1503_20180315_045351.bmp,364,111,1,1
7,1507_1503_20180315_050851.bmp,364,113,1,1
8,1507_1503_20180315_052351.bmp,364,114,1,1
9,1507_1503_20180315_053851.bmp,364,116,1,1
10,1507_1503_20180315_055351.bmp,364,117,1,1
11,1507_1503_20180315_060851.bmp,364,118,1,1
12,1507_1503_20180315_062351.bmp,364,120,1,1
13,1507_1503_20180315_063851.bmp,364,122,1,1
14,1507_1503_20180315_065351.bmp,365,123,1,1
15,1507_1503_20180315_070851.bmp,364,125,1,1
16,1507_1503_20180315_072351.bmp,364,126,1,1
17,1507_1503_20180315_073851.bmp,364,128,1,1
18,1507_1503_20180315_075351.bmp,365,128,1,1
19,1507_1503_20180315_080851.bmp,364,130,1,1
20,1507_1503_20180315_082351.bmp,365,131,1,1
21,1507_1503_20180315_083851.bmp,364,133,1,1
22,1507_1503_20180315_085351.bmp,363,134,1,1
23,1507_1503_20180315_090851.bmp,363,136,1,1
24,1507_1503_20180315_092351.bmp,363,137,1,1
25,1507_1503_20180315_093851.bmp,361,138,1,1
26,1507_1503_20180315_095351.bmp,357,137,1,1
27,1507_1503_20180315_100851.bmp,356,139,1,1
28,1507_1503_20180315_102351.bmp,358,142,1,1
29,1507_1503_20180315_103851.bmp,360,145,1,1
30,1507_1503_20180315_105351.bmp,362,146,1,1
31,1507_1503_20180315_110851.bmp,359,146,1,1
32,1507_1503_20180315_112351.bmp,355,147,1,1
33,1507_1503_20180315_113851.bmp,353,149,1,1
34,1507_1503_20180315_115351.bmp,355,151,1,1
35,1507_1503_20180315_120851.bmp,357,154,1,1
36,1507_1503_20180315_122351.bmp,357,156,1,1
37,1507_1503_20180315_123851.bmp,352,156,1,1
38,1507_1503_20180315_125351.bmp,346,156,1,1
39,1507_1503_20180315_130851.bmp,347,158,1,1
40,1507_1503_20180315_132351.bmp,351,161,1,1
41,1507_1503_20180315_133851.bmp,353,164,1,1
42,1507_1503_20180315_135351.bmp,350,164,1,1
43,1507_1503_20180315_140851.bmp,344,164,1,1
44,1507_1503_20180315_142351.bmp,342,165,1,1
45,1507_1503_20180315_143851.bmp,344,169,1,1
46,1507_1503_20180315_145351.bmp,348,173,1,1
47,1507_1503_20180315_150851.bmp,350,175,1,1
48,1507_1503_20180315_152351.bmp,346,175,1,1
49,1507_1503_20180315_153851.bmp,340,177,1,1
50,1507_1503_20180315_155351.bmp,341,178,1,1
51,1507_1503_20180315_160851.bmp,347,183,1,1
52,1507_1503_20180315_162351.bmp,351,186,1,1
53,1507_1503_20180315_163851.bmp,348,187,1,1
54,1507_1503_20180315_165351.bmp,341,187,1,1
55,1507_1503_20180315_170851.bmp,337,188,1,1
56,1507_1503_20180315_172351.bmp,341,191,1,1
57,1507_1503_20180315_173851.bmp,345,194,1,1
58,1507_1503_20180315_175351.bmp,348,197,1,1
59,1507_1503_20180315_180851.bmp,342,197,1,1
60,1507_1503_20180315_182351.bmp,336,197,1,1
61,1507_1503_20180315_183851.bmp,335,200,1,1
62,1507_1503_20180315_185351.bmp,339,203,1,1
63,1507_1503_20180315_190851.bmp,344,206,1,1
64,1507_1503_20180315_192351.bmp,342,207,1,1
65,1507_1503_20180315_193851.bmp,336,206,1,1
66,1507_1503_20180315_195351.bmp,330,207,1,1
67,1507_1503_20180315_200851.bmp,330,211,1,1
68,1507_1503_20180315_202351.bmp,336,215,1,1
69,1507_1503_20180315_203851.bmp,339,217,1,1
70,1507_1503_20180315_205351.bmp,338,217,1,1
