gia_dir,scale,species,experiment,plant,line_number,genotype,imaging_day,image_count,bushiness,surfacearea(mm^2),perimeter(mm),majorellipseaxes(mm),networkarea(mm^2),totallength(mm),minorellipseaxes(mm),widthdepthratio,mediannumberofroots,depth(mm),maxwidth(mm),lengthdistr(mm),networkconvexarea(mm^2),averagerootwidth(mm),ellipseaxesaspectratio,volume(mm^3),solidity,specificrootlength(1/mm^2),connectedcomponentscount,maximumnumberofroots
/data/rsa/processed_images/rice/RIL/p02007/d07/saved/giaroot_2d/krl12_2018-01-27_00-29-16,0.0411,rice,RIL,p02007,1497,FN_287,d07,20,2.3,1021.986424,2373.864075,112.1192544,261.4457885,1205.68083,38.46936886,0.440067531,4.25,121.2039,53.34369,0.073701594,4066.351068,0.270037554,0.343137198,119.3799235,0.06460166,10.24991426,1.95,9.7
/data/rsa/processed_images/rice/RIL/p02011/d07/saved/giaroot_2d/krl12_2018-01-27_00-29-16,0.0411,rice,RIL,p02011,1497,FN_287,d07,20,1.9225,982.0522216,2321.593095,114.2274165,255.4537384,1163.238915,32.84725183,0.314883046,4.65,126.931185,39.967695,0.058016388,3342.787297,0.268880974,0.28757802,114.4854615,0.076537869,10.26614516,1.85,8.85
/data/rsa/processed_images/rice/RIL/p02013/d07/saved/giaroot_2d/krl12_2018-01-27_00-29-16,0.0411,rice,RIL,p02013,1497,FN_287,d07,20,2.6475,1094.047644,2537.00436,112.9299695,282.6213028,1284.51063,35.40251986,0.367696321,4.3,125.689965,46.21695,0.077452316,4819.435979,0.271146049,0.313459987,124.5052549,0.059017102,10.38667985,2.5,11.25
/data/rsa/processed_images/rice/RIL/p02024/d07/saved/giaroot_2d/krl12_2018-01-27_00-29-16,0.0411,rice,RIL,p02024,1497,FN_287,d07,20,2.504166667,951.6671385,2327.00391,109.4558175,247.8237457,1157.464365,37.85860136,0.39191949,3.95,121.35597,47.558865,0.068941811,3685.399162,0.261809566,0.346006165,107.4465867,0.068149848,10.95677509,1.1,9.85
/data/rsa/processed_images/rice/RIL/p02038/d07/saved/giaroot_2d/krl12_2018-01-27_00-29-16,0.0411,rice,RIL,p02038,1497,FN_287,d07,20,2.23,1089.767882,2616.049935,107.1073222,282.598414,1308.272595,39.2071826,0.407179876,4.9,118.830375,48.384975,0.064237668,4093.162885,0.265271647,0.366160272,118.1586609,0.069267629,11.10583852,1.75,10.9
/data/rsa/processed_images/rice/RIL/p02053/d07/saved/giaroot_2d/krl12_2018-01-27_00-29-16,0.0411,rice,RIL,p02053,1497,FN_287,d07,20,2.716666667,742.9530088,1820.47107,104.1893952,189.0489507,926.741295,29.49236392,0.366143019,3,114.15114,41.79459,0.076334147,3014.503777,0.255534074,0.283096749,86.71373769,0.062856142,10.85173783,1.05,8.15
/data/rsa/processed_images/rice/RIL/p02054/d07/saved/giaroot_2d/krl12_2018-01-27_00-29-16,0.0411,rice,RIL,p02054,1497,FN_287,d07,20,1.9225,961.7930652,2197.83072,102.2857999,249.2265502,1104.502905,36.25568674,0.379530098,4.95,116.569875,44.242095,0.062822696,3473.582701,0.277267278,0.354522614,114.7835522,0.073092884,9.757845913,1.85,9.5
/data/rsa/processed_images/rice/RIL/p02060/d07/saved/giaroot_2d/krl12_2018-01-27_00-29-16,0.0411,rice,RIL,p02060,1497,FN_287,d07,20,1.98,935.6979251,2318.720205,107.0543596,247.3321011,1161.81069,32.9614191,0.323875225,4.9,121.11348,39.22584,0.064803698,3348.729981,0.256558785,0.308040611,88.81450662,0.075947196,13.08670095,1.05,9.65
/data/rsa/processed_images/rice/RIL/p02009/d07/saved/giaroot_2d/krl12_2018-01-27_00-29-16,0.0411,rice,RIL,p02009,1499,FN_179,d07,20,2.475,1071.370676,2478.821145,118.8399708,274.7495842,1260.255465,37.83271371,0.39658867,4,128.982075,51.151005,0.07014033,5299.647977,0.270780753,0.318356746,124.1177172,0.052036502,10.2340666,2.85,9.9
/data/rsa/processed_images/rice/RIL/p02017/d07/saved/giaroot_2d/krl12_2018-01-27_00-29-16,0.0411,rice,RIL,p02017,1499,FN_179,d07,20,2.29,847.3900152,1915.800465,94.69050017,215.3068755,982.000245,32.25206387,0.399484848,4.1,105.994845,42.34122,0.070024487,2906.282807,0.275174451,0.341009629,97.69695513,0.076032604,10.19440327,1.5,9.35
/data/rsa/processed_images/rice/RIL/p02025/d07/saved/giaroot_2d/krl12_2018-01-27_00-29-16,0.0411,rice,RIL,p02025,1499,FN_179,d07,20,2.4375,1074.943666,2411.53839,116.6126999,273.0942429,1238.61837,39.71481461,0.375418016,4,126.18933,47.37186,0.067080095,5247.05776,0.276547696,0.340599831,128.7410033,0.052373485,9.840676039,2.8,9.75
/data/rsa/processed_images/rice/RIL/p02028/d07/saved/giaroot_2d/krl12_2018-01-27_00-29-16,0.0411,rice,RIL,p02028,1499,FN_179,d07,20,1.93,988.7996506,2390.419155,109.1899918,258.7588467,1200.072735,36.28545025,0.371245462,5,120.770295,44.83599,0.059250692,3746.194548,0.262407286,0.332324638,102.7318581,0.069910669,11.71887242,1,9.65
