gene,log2FC,FDR,RPKM control root,RPKM  roots treated with BA,description
LOC_Os04g24319,12.45,3.72E-13,0.000,24.921,"jasmonate-induced protein, putative"
LOC_Os04g24310,10.59,2.49E-12,0.024,39.722,"retrotransposon protein, putative unclassified"
LOC_Os08g26580,8.84,2.79E-24,0.000,6.276,hypothetical protein
LOC_Os12g30824,8.49,1.11E-42,0.004,1.334,"terpene synthase, putative"
LOC_Os01g10110,8.23,0,0.270,76.737,"cytokinin dehydrogenase precursor, putative "
LOC_Os10g36070,7.76,8.30E-30,0.045,12.791,"LTPL155 - Protease inhibitor/seed storage/LTP family protein precursor, putative "
LOC_Os08g26620,7.48,1.39E-35,0.039,9.121,hypothetical protein
LOC_Os10g09860,7.33,1.98E-12,0.000,0.445,"chalcone synthase, putative "
LOC_Os10g08620,7.20,6.23E-09,0.000,0.366,"chalcone and stilbene synthases, putative "
LOC_Os09g16650,7.16,2.49E-10,0.000,0.402,"legume lectins beta domain containing protein, putative "
LOC_Os08g26300,7.11,2.81E-09,0.000,0.321,"retrotransposon protein, putative unclassified"
LOC_Os12g43310,7.04,3.51E-08,0.000,1.230,hypothetical protein
LOC_Os08g26120,6.63,5.99E-28,0.054,5.370,expressed protein
LOC_Os05g12190,6.48,2.71E-07,0.000,0.283,"chalcone synthase, putative "
LOC_Os07g02870,6.46,1.09E-27,0.048,4.331,"DUF538 domain containing protein, putative "
LOC_Os01g06960,6.45,8.52E-28,0.047,4.589,"POEI34 - Pollen Ole e I allergen and extensin family protein precursor, putative "
LOC_Os06g13530,6.35,9.65E-07,0.000,0.563,"benzoate carboxyl methyltransferase, putative "
LOC_Os02g38850,6.27,7.74E-06,0.000,0.815,expressed protein
LOC_Os01g61840,6.22,9.33E-80,0.510,34.149,hypothetical protein
LOC_Os08g26010,6.21,1.36E-53,0.044,3.157,"transposon protein, putative CACTA, En/Spm sub-class"
LOC_Os01g50170,6.15,3.98E-23,0.011,0.788,eukaryotic aspartyl protease domain containing protein
LOC_Os12g43320,6.12,6.62E-06,0.000,0.567,expressed protein
LOC_Os04g39300,6.12,4.84E-05,0.000,0.296,"heavy metal transport/detoxification protein, putative "
LOC_Os06g31280,6.05,2.28E-20,0.044,2.974,"THION1 - Plant thionin family protein precursor, putative "
LOC_Os04g27400,6.04,3.96E-16,0.009,0.775,"terpene synthase, putative "
LOC_Os01g50110,6.00,2.42E-05,0.000,0.167,"MYB family transcription factor, putative "
LOC_Os04g10060,5.99,2.01E-96,0.167,10.124,"ent-kaurene synthase, chloroplast precursor, putative "
LOC_Os04g10160,5.96,4.87E-73,0.259,16.021,"cytochrome P450, putative "
LOC_Os11g38780,5.95,7.54E-44,0.269,16.288,"EF hand family protein, putative"
LOC_Os10g21620,5.89,8.13E-05,0.000,0.558,expressed protein
LOC_Os04g10150,5.86,6.27E-05,0.000,0.211,expressed protein
LOC_Os11g13840,5.81,5.04E-68,0.282,14.377,AP2 domain containing protein
LOC_Os10g07616,5.76,2.25E-25,0.084,4.239,"chalcone synthase, putative "
LOC_Os01g09900,5.75,2.07E-13,0.005,0.371,helix-loop-helix DNA-binding domain containing protein
LOC_Os07g03950,5.74,1.84E-12,0.006,0.298,"lectin-like receptor kinase, putative "
LOC_Os11g39000,5.70,2.16E-22,0.038,2.268,helix-loop-helix DNA-binding domain containing protein
LOC_Os03g50710,5.69,3.36E-65,0.598,30.071,expressed protein
LOC_Os10g08670,5.67,8.11E-11,0.007,0.516,"chalcone synthase, putative "
LOC_Os10g37160,5.66,2.64E-83,0.124,6.313,"transposon protein, putative unclassified"
LOC_Os01g60490,5.64,3.26E-64,0.160,7.753,WRKY22
LOC_Os07g03900,5.63,1.28E-21,0.014,0.796,"lectin-like receptor kinase, putative "
